Armor~images\attire\costume\armor.png~armor
Band Uniform~images\attire\costume\band_uniform.png~band uniform
Bear Costume~images\attire\costume\bear_costume.png~bear costume
Boar Costume~images\attire\costume\boar_costume.png~boar costume
Cape~images\attire\costume\cape.png~cape
Cassock~images\attire\costume\cassock.png~cassock
Cat Costume~images\attire\costume\cat_costume.png~cat costume
Cheerleader~images\attire\costume\cheerleader.png~cheerleader
Cow Costume~images\attire\costume\cow_costume.png~cow costume
Cowboy Western~images\attire\costume\cowboy_western.png~cowboy western
Dog Costume~images\attire\costume\dog_costume.png~dog costume
Gym Uniform~images\attire\costume\gym_uniform.png~gym uniform
Hazmat Suit~images\attire\costume\hazmat_suit.png~hazmat suit
Hev Suit~images\attire\costume\hev_suit.png~hev suit
Kigurumi~images\attire\costume\kigurumi.png~kigurumi
Loincloth~images\attire\costume\loincloth.png~loincloth
Maid~images\attire\costume\maid.png~maid
Military Uniform~images\attire\costume\military_uniform.png~military uniform
Mouse Costume~images\attire\costume\mouse_costume.png~mouse costume
Penguin Costume~images\attire\costume\penguin_costume.png~penguin costume
Pig Costume~images\attire\costume\pig_costume.png~pig costume
Rabbit Costume~images\attire\costume\rabbit_costume.png~rabbit costume
Reindeer Costume~images\attire\costume\reindeer_costume.png~reindeer costume
Sailor~images\attire\costume\sailor.png~sailor
Santa Costume~images\attire\costume\santa_costume.png~santa costume
School Uniform~images\attire\costume\school_uniform.png~school uniform
Serafuku~images\attire\costume\serafuku.png~serafuku
Sheep Costume~images\attire\costume\sheep_costume.png~sheep costume
Tiger Costume~images\attire\costume\tiger_costume.png~tiger costume
Tutu~images\attire\costume\tutu.png~tutu
Waitress~images\attire\costume\waitress.png~waitress
