Animal Slippers~images\attire\footwear\resized\animal_slippers.png~animal slippers
Ankle Boots~images\attire\footwear\resized\ankle_boots.png~ankle boots
Armored Boots~images\attire\footwear\resized\armored_boots.png~armored boots
Ballet Slippers~images\attire\footwear\resized\ballet_slippers.png~ballet slippers
Boots~images\attire\footwear\resized\boots.png~boots
Clog Sandals~images\attire\footwear\resized\clog_sandals.png~clog sandals
Converse~images\attire\footwear\resized\converse.png~converse
Cross-laced Footwear~images\attire\footwear\resized\cross-laced_footwear.png~cross-laced footwear
Cross-laced Sandals~images\attire\footwear\resized\cross-laced_sandals.png~cross-laced sandals
Dress Shoes~images\attire\footwear\resized\dress_shoes.png~dress shoes
Flip-flops~images\attire\footwear\resized\flip-flops.png~flip-flops
Geta~images\attire\footwear\resized\geta.png~geta
Gladiator Sandals~images\attire\footwear\resized\gladiator_sandals.png~gladiator sandals
High Heel Boots~images\attire\footwear\resized\high_heel_boots.png~high heel boots
High Heels~images\attire\footwear\resized\high_heels.png~high heels
High Tops~images\attire\footwear\resized\high_tops.png~high tops
Kiltie Loafers~images\attire\footwear\resized\kiltie_loafers.png~kiltie loafers
Knee Boots~images\attire\footwear\resized\knee_boots.png~knee boots
Lace-up Boots~images\attire\footwear\resized\lace-up_boots.png~lace-up boots
Loafers~images\attire\footwear\resized\loafers.png~loafers
Mary Janes~images\attire\footwear\resized\mary_janes.png~mary janes
Oxfords~images\attire\footwear\resized\oxfords.png~oxfords
Platform Footwear~images\attire\footwear\resized\platform_footwear.png~platform footwear
Ponty Footwear~images\attire\footwear\resized\ponty_footwear.png~ponty footwear
Rubber Boots~images\attire\footwear\resized\rubber_boots.png~rubber boots
Sandals~images\attire\footwear\resized\sandals.png~sandals
Slippers~images\attire\footwear\resized\slippers.png~slippers
Sneakers~images\attire\footwear\resized\sneakers.png~sneakers
Thigh Boots~images\attire\footwear\resized\thigh_boots.png~thigh boots
Wedge Heels~images\attire\footwear\resized\wedge_heels.png~wedge heels
Work Boots~images\attire\footwear\resized\work_boots.png~work boots
