Akagi~images\characters\resized\akagi_(kancolle).png~akagi \(kancolle\)
Akemi Homura~images\characters\resized\akemi_homura.png~akemi homura
Alice Margatroid~images\characters\resized\alice_margatroid.png~alice margatroid
Artoria Pendragon~images\characters\resized\artoria_pendragon_(fate).png~artoria pendragon \(fate\)
Asuka Langley~images\characters\resized\souryuu_asuka_langley.png~souryuu asuka langley
Cirno~images\characters\resized\cirno.png~cirno
Flandre Scarlet~images\characters\resized\flandre_scarlet.png~flandre scarlet
Fujiwara No Mokou~images\characters\resized\fujiwara_no_mokou.png~fujiwara no mokou
Ganyu~images\characters\resized\ganyu_(genshin_impact).png~ganyu \(genshin impact\)
Hakurei Reimu~images\characters\resized\hakurei_reimu.png~hakurei reimu
Hatsune Miku~images\characters\resized\hatsune_miku.png~hatsune miku
Hibiki~images\characters\resized\hibiki_(kancolle).png~hibiki \(kancolle\)
Hijiri Byakuren~images\characters\resized\hijiri_byakuren.png~hijiri byakuren
Hong Meiling~images\characters\resized\hong_meiling.png~hong meiling
Ibuki Suika~images\characters\resized\ibuki_suika.png~ibuki suika
Inazuma~images\characters\resized\inazuma_(kancolle).png~inazuma \(kancolle\)
Inubashiri Momiji~images\characters\resized\inubashiri_momiji.png~inubashiri momiji, animal ears
Izayoi Sakuya~images\characters\resized\izayoi_sakuya.png~izayoi sakuya
Kaenbyou Rin~images\characters\resized\kaenbyou_rin.png~kaenbyou rin, animal ears
Kaga~images\characters\resized\kaga_(kancolle).png~kaga \(kancolle\)
Kagamine Len~images\characters\resized\kagamine_len.png~kagamine len
Kagamine Rin~images\characters\resized\kagamine_rin.png~kagamine rin
Kaname Madoka~images\characters\resized\kaname_madoka.png~kaname madoka
Kawashiro Nitori~images\characters\resized\kawashiro_nitori.png~kawashiro nitori
Kazami Yuuka~images\characters\resized\kazami_yuuka.png~kazami yuuka
Kirisame Marisa~images\characters\resized\kirisame_marisa.png~kirisame marisa
Koakuma~images\characters\resized\koakuma.png~koakuma
Kochiya Sanae~images\characters\resized\kochiya_sanae.png~kochiya sanae
Komeiji Koishi~images\characters\resized\komeiji_koishi.png~komeiji koishi
Komeiji Satori~images\characters\resized\komeiji_satori.png~komeiji satori
Kongou~images\characters\resized\kongou_(kancolle).png~kongou \(kancolle\)
Konpaku Youmu~images\characters\resized\konpaku_youmu.png~konpaku youmu
Miki Sayaka~images\characters\resized\miki_sayaka.png~miki sayaka
Moriya Suwako~images\characters\resized\moriya_suwako.png~moriya suwako
Mystia Lorelei~images\characters\resized\mystia_lorelei.png~mystia lorelei
Nazrin~images\characters\resized\nazrin.png~nazrin
Patchouli Knowledge~images\characters\resized\patchouli_knowledge.png~patchouli knowledge
Reisen Udongein Inaba~images\characters\resized\reisen_udongein_inaba.png~reisen udongein inaba
Reiuji Utsuho~images\characters\resized\reiuji_utsuho.png~reiuji utsuho
Remilia Scarlet~images\characters\resized\remilia_scarlet.png~remilia scarlet
Rumia~images\characters\resized\rumia.png~rumia
Saber~images\characters\resized\saber.png~saber
Saigyouji Yuyuko~images\characters\resized\saigyouji_yuyuko.png~saigyouji yuyuko
Shameimaru Aya~images\characters\resized\shameimaru_aya.png~shameimaru aya
Shigure~images\characters\resized\shigure_(kancolle).png~shigure \(kancolle\)
Shimakaze~images\characters\resized\shimakaze_(kancolle).png~shimakaze \(kancolle\)
Tatara Kogasa~images\characters\resized\tatara_kogasa.png~tatara kogasa, heterochromia
Tomoe Mami~images\characters\resized\tomoe_mami.png~tomoe mami
Yakumo Ran~images\characters\resized\yakumo_ran.png~yakumo ran, animal ears
Yakumo Yukari~images\characters\resized\yakumo_yukari.png~yakumo yukari
