Black Skin~images/colors/skin/resized/black.jpg~colored skin, black skin
Blue Skin~images/colors/skin/resized/blue.jpg~colored skin, blue skin
Dark Skin~images/colors/skin/resized/dark.jpg~colored skin, dark skin
Green Skin~images/colors/skin/resized/green.jpg~colored skin, green skin
Grey Skin~images/colors/skin/resized/grey.jpg~colored skin, grey skin
Pale Skin~images/colors/skin/resized/pale.jpg~colored skin, pale skin
Purple Skin~images/colors/skin/resized/purple.jpg~colored skin, purple skin
Red Skin~images/colors/skin/resized/red.jpg~colored skin, red skin
Tan Skin~images/colors/skin/resized/tan.jpg~colored skin, tan skin
White Skin~images/colors/skin/resized/white.jpg~colored skin, white skin
