Bikini,images\attire\skinTight\bikini.png,bikini
Bodysuit,images\attire\skinTight\bodysuit.png,bodysuit
Bow Bra,images\attire\skinTight\bow_bra.png,bow bra
Bow Panties,images\attire\skinTight\bow_panties.png,bow panties
Competition Swimsuit,images\attire\skinTight\competition_swimsuit.png,competition swimsuit
Frilled Bra,images\attire\skinTight\frilled_bra.png,frilled bra
Frilled Panties,images\attire\skinTight\frilled_panties.png,frilled panties
Front-tie Bra,images\attire\skinTight\front-tie_bra.png,front-tie bra
Garter Straps,images\attire\skinTight\garter_straps.png,garter straps
Kneehighs,images\attire\skinTight\kneehighs.png,kneehighs
Lace Bra,images\attire\skinTight\lace_bra.png,lace bra
Lace Panties,images\attire\skinTight\lace_panties.png,lace panties
Lace-trimmed Bra,images\attire\skinTight\lace-trimmed_bra.png,lace-trimmed bra
Lace-trimmed Panties,images\attire\skinTight\lace-trimmed_panties.png,lace-trimmed panties
Latex Panties,images\attire\skinTight\latex_panties.png,latex panties
Leotard,images\attire\skinTight\leotard.png,leotard
Lingerie,images\attire\skinTight\lingerie.png,lingerie
Loose Socks,images\attire\skinTight\loose_socks.png,loose socks
Micro Bikini,images\attire\skinTight\micro_bikini.png,micro bikini
Negligee,images\attire\skinTight\negligee.png,negligee
Open Robe,images\attire\skinTight\open_robe.png,open robe
Pantyhose,images\attire\skinTight\pantyhose.png,pantyhose
Playboy Bunny,images\attire\skinTight\playboy_bunny.png,playboy bunny
School Swimsuit,images\attire\skinTight\school_swimsuit.png,school swimsuit
See-through Leotard,images\attire\skinTight\see-through_leotard.png,see-through leotard
Side-tie Panties,images\attire\skinTight\side-tie_panties.png,side-tie panties
Socks,images\attire\skinTight\socks.png,socks
Sports Bra,images\attire\skinTight\sports_bra.png,sports bra
Strapless Bra,images\attire\skinTight\strapless_bra.png,strapless bra
Strapless Leotard,images\attire\skinTight\strapless_leotard.png,strapless leotard
Swim Briefs,images\attire\skinTight\swim_briefs.png,swim briefs
Swimsuit,images\attire\skinTight\swimsuit.png,swimsuit
Thigh Strap,images\attire\skinTight\thigh_strap.png,thigh strap
Thighband Pantyhose,images\attire\skinTight\thighband_pantyhose.png,thighband pantyhose
Thighhighs,images\attire\skinTight\thighhighs.png,thighhighs
Thong,images\attire\skinTight\thong.png,thong
Thong Bikini,images\attire\skinTight\thong_bikini.png,thong bikini
Unitard,images\attire\skinTight\unitard.png,unitard
